Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Single-process,1.3985278624181214,lateraloccipital,298051
AIS_kraskov,lateraloccipital,lateraloccipital,Single-process,0.5789410096733834,lateraloccipital,298051
entropy_kozachenko,parstriangularis,parstriangularis,Single-process,1.441373904976989,parstriangularis,298051
AIS_kraskov,parstriangularis,parstriangularis,Single-process,0.26861733282017397,parstriangularis,298051
je_kozachenko,lateraloccipital,parstriangularis,Pairwise,2.83869080717175,,298051
si_kozachenko_k-1,lateraloccipital,parstriangularis,Pairwise,0.03971267316591254,,298051
mi_kraskov_NN-4,lateraloccipital,parstriangularis,Pairwise,-0.02339953921253901,,298051
tlmi_kraskov_NN-4,lateraloccipital,parstriangularis,Pairwise,0.005317135299158338,,298051
di_kozachenko,lateraloccipital,parstriangularis,Pairwise,0.1698869688977025,,298051
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parstriangularis,Pairwise,9.269976465205986e-07,,298051
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parstriangularis,Pairwise,0.010555219949152983,,298051
ce_kozachenko,lateraloccipital,parstriangularis,Pairwise,1.4091200044314944,,298051
cce_kozachenko,lateraloccipital,parstriangularis,Pairwise,6.215450712225444,,298051
entropy_kozachenko,superiorparietal,superiorparietal,Single-process,1.4092605754286573,superiorparietal,298051
AIS_kraskov,superiorparietal,superiorparietal,Single-process,0.4447422392535181,superiorparietal,298051
je_kozachenko,lateraloccipital,superiorparietal,Pairwise,2.8458152395236147,,298051
si_kozachenko_k-1,lateraloccipital,superiorparietal,Pairwise,0.1265068180977038,,298051
mi_kraskov_NN-4,lateraloccipital,superiorparietal,Pairwise,-0.0037498671618632073,,298051
tlmi_kraskov_NN-4,lateraloccipital,superiorparietal,Pairwise,0.006812768859870033,,298051
di_kozachenko,lateraloccipital,superiorparietal,Pairwise,0.5400181101225598,,298051
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,superiorparietal,Pairwise,0.0013561110442082795,,298051
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,superiorparietal,Pairwise,-0.033041834511764234,,298051
ce_kozachenko,lateraloccipital,superiorparietal,Pairwise,1.4162408046109625,,298051
cce_kozachenko,lateraloccipital,superiorparietal,Pairwise,5.2989920123165195,,298051
entropy_kozachenko,posteriorcingulate,posteriorcingulate,Single-process,1.4407462816562093,posteriorcingulate,298051
AIS_kraskov,posteriorcingulate,posteriorcingulate,Single-process,0.053876723244490776,posteriorcingulate,298051
je_kozachenko,lateraloccipital,posteriorcingulate,Pairwise,2.867478673286421,,298051
si_kozachenko_k-1,lateraloccipital,posteriorcingulate,Pairwise,0.08375177557600777,,298051
mi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Pairwise,-0.007779180197966085,,298051
tlmi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Pairwise,-0.009758840911759492,,298051
di_kozachenko,lateraloccipital,posteriorcingulate,Pairwise,0.05418458718129493,,298051
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Pairwise,0.0003856226603187506,,298051
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Pairwise,0.005952855628697407,,298051
ce_kozachenko,lateraloccipital,posteriorcingulate,Pairwise,1.4379214143193946,,298051
cce_kozachenko,lateraloccipital,posteriorcingulate,Pairwise,6.785970764709006,,298051
entropy_kozachenko,lateralorbitofrontal,lateralorbitofrontal,Single-process,1.4553345970855602,lateralorbitofrontal,298051
AIS_kraskov,lateralorbitofrontal,lateralorbitofrontal,Single-process,0.05644233080897898,lateralorbitofrontal,298051
je_kozachenko,lateraloccipital,lateralorbitofrontal,Pairwise,2.8260438567816464,,298051
