Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Single-process,1.3985326723881348,lateraloccipital,298051
entropy_gaussian,lateraloccipital,lateraloccipital,Single-process,1.4193553735789615,lateraloccipital,298051
AIS_kraskov,lateraloccipital,lateraloccipital,Single-process,0.5789410096733834,lateraloccipital,298051
AIS_gaussian,lateraloccipital,lateraloccipital,Single-process,0.57139730448498,lateraloccipital,298051
entropy_kozachenko,lateralorbitofrontal,lateralorbitofrontal,Single-process,1.4553354481539253,lateralorbitofrontal,298051
entropy_gaussian,lateralorbitofrontal,lateralorbitofrontal,Single-process,1.4193553735789615,lateralorbitofrontal,298051
AIS_kraskov,lateralorbitofrontal,lateralorbitofrontal,Single-process,0.05644233080897898,lateralorbitofrontal,298051
AIS_gaussian,lateralorbitofrontal,lateralorbitofrontal,Single-process,0.03825211084118834,lateralorbitofrontal,298051
je_gaussian,lateraloccipital,lateralorbitofrontal,Pairwise,2.837739404736216,,298051
si_gaussian_k-1,lateraloccipital,lateralorbitofrontal,Pairwise,0.0018598962868345836,,298051
mi_gaussian,lateraloccipital,lateralorbitofrontal,Pairwise,0.00013766167312803635,,298051
tlmi_gaussian,lateraloccipital,lateralorbitofrontal,Pairwise,0.00014239352458987492,,298051
di_gaussian,lateraloccipital,lateralorbitofrontal,Pairwise,0.08388162049663528,,298051
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,lateralorbitofrontal,Pairwise,0.0002455229915741373,,298051
ce_gaussian,lateraloccipital,lateralorbitofrontal,Pairwise,1.4188008715315448,,298051
cce_gaussian,lateraloccipital,lateralorbitofrontal,Pairwise,6.888974926101618,,298051
entropy_kozachenko,transversetemporal,transversetemporal,Single-process,1.374163062532264,transversetemporal,298051
entropy_gaussian,transversetemporal,transversetemporal,Single-process,1.4193553735789608,transversetemporal,298051
AIS_kraskov,transversetemporal,transversetemporal,Single-process,0.026303114889865142,transversetemporal,298051
AIS_gaussian,transversetemporal,transversetemporal,Single-process,0.04918726915686697,transversetemporal,298051
