Region_Index,Measure_Type,Measure,Value,Subject_ID,Run_Number,Region
0,Univariate,Entropy,1.460101131924656,100610,0,7networks_LH_Default_FPole_1
0,Univariate,AIS,0.3146669645446849,100610,0,7networks_LH_Default_FPole_1
1,Univariate,Entropy,1.5158047378462163,100610,0,7networks_LH_Default_FPole_2
1,Univariate,AIS,0.2945447799636991,100610,0,7networks_LH_Default_FPole_2
2,Univariate,Entropy,1.43916877737795,100610,0,7networks_LH_Default_IPL_1
2,Univariate,AIS,0.4834896852599,100610,0,7networks_LH_Default_IPL_1
3,Univariate,Entropy,1.3946179519263682,100610,0,7networks_LH_Default_IPL_2
3,Univariate,AIS,0.27366753149353684,100610,0,7networks_LH_Default_IPL_2
4,Univariate,Entropy,1.3966758424167205,100610,0,7networks_LH_Default_IPL_3
4,Univariate,AIS,0.6734808305559019,100610,0,7networks_LH_Default_IPL_3
5,Univariate,Entropy,1.4231957029377567,100610,0,7networks_LH_Default_IPL_4
5,Univariate,AIS,0.4546127133748419,100610,0,7networks_LH_Default_IPL_4
6,Univariate,Entropy,1.485601152592488,100610,0,7networks_LH_Default_IPL_5
6,Univariate,AIS,0.09352913826553433,100610,0,7networks_LH_Default_IPL_5
7,Univariate,Entropy,1.5113296877393143,100610,0,7networks_LH_Default_PCC_1
7,Univariate,AIS,0.01600969066235436,100610,0,7networks_LH_Default_PCC_1
8,Univariate,Entropy,1.463534912869064,100610,0,7networks_LH_Default_PCC_2
8,Univariate,AIS,0.3644844116659618,100610,0,7networks_LH_Default_PCC_2
9,Univariate,Entropy,1.399760483357313,100610,0,7networks_LH_Default_PCC_3
9,Univariate,AIS,0.3672837293908229,100610,0,7networks_LH_Default_PCC_3
10,Univariate,Entropy,1.32644644999292,100610,0,7networks_LH_Default_PFCd_1
10,Univariate,AIS,0.6052080195473222,100610,0,7networks_LH_Default_PFCd_1
11,Univariate,Entropy,1.4667032592756062,100610,0,7networks_LH_Default_PFCd_2
11,Univariate,AIS,0.32614201507816,100610,0,7networks_LH_Default_PFCd_2
12,Univariate,Entropy,1.3519849900392469,100610,0,7networks_LH_Default_PFCd_3
12,Univariate,AIS,0.4246438477212031,100610,0,7networks_LH_Default_PFCd_3
13,Univariate,Entropy,1.4891464766498865,100610,0,7networks_LH_Default_PFCd_4
13,Univariate,AIS,0.5684087608062125,100610,0,7networks_LH_Default_PFCd_4
14,Univariate,Entropy,1.4158639352033218,100610,0,7networks_LH_Default_PFCd_5
14,Univariate,AIS,0.4837465404841135,100610,0,7networks_LH_Default_PFCd_5
15,Univariate,Entropy,1.4196403409747065,100610,0,7networks_LH_Default_PFCd_6
15,Univariate,AIS,0.5247453871221346,100610,0,7networks_LH_Default_PFCd_6
16,Univariate,Entropy,1.408874936201185,100610,0,7networks_LH_Default_PFCl
16,Univariate,AIS,0.45565267119110153,100610,0,7networks_LH_Default_PFCl
17,Univariate,Entropy,1.3955928493708738,100610,0,7networks_LH_Default_PFCm_1
17,Univariate,AIS,0.4277623837343487,100610,0,7networks_LH_Default_PFCm_1
18,Univariate,Entropy,1.4788447534119706,100610,0,7networks_LH_Default_PFCm_2
18,Univariate,AIS,0.11425653701702831,100610,0,7networks_LH_Default_PFCm_2
19,Univariate,Entropy,1.3774728374176552,100610,0,7networks_LH_Default_PFCm_3
19,Univariate,AIS,0.5743098893982097,100610,0,7networks_LH_Default_PFCm_3
20,Univariate,Entropy,1.4271399331977142,100610,0,7networks_LH_Default_PFCv_1
20,Univariate,AIS,0.6416056995884789,100610,0,7networks_LH_Default_PFCv_1
21,Univariate,Entropy,1.4038854506969844,100610,0,7networks_LH_Default_PFCv_2
21,Univariate,AIS,0.4357705059205417,100610,0,7networks_LH_Default_PFCv_2
22,Univariate,Entropy,1.4295851449451744,100610,0,7networks_LH_Default_PFCv_3
22,Univariate,AIS,0.2762004672893532,100610,0,7networks_LH_Default_PFCv_3
23,Univariate,Entropy,1.4768550820958959,100610,0,7networks_LH_Default_PFCv_4
23,Univariate,AIS,0.4162683904533049,100610,0,7networks_LH_Default_PFCv_4
24,Univariate,Entropy,1.477639708174074,100610,0,7networks_LH_Default_PFCv_5
24,Univariate,AIS,0.34351557257907483,100610,0,7networks_LH_Default_PFCv_5
25,Univariate,Entropy,1.4307781809274003,100610,0,7networks_LH_Default_RSC_1
25,Univariate,AIS,0.4690823472936918,100610,0,7networks_LH_Default_RSC_1
26,Univariate,Entropy,1.3861167936986654,100610,0,7networks_LH_Default_RSC_2
26,Univariate,AIS,0.4815836891087839,100610,0,7networks_LH_Default_RSC_2
27,Univariate,Entropy,1.3595418247933324,100610,0,7networks_LH_Default_TempPole
27,Univariate,AIS,0.6865501656323181,100610,0,7networks_LH_Default_TempPole
28,Univariate,Entropy,1.3826702742324697,100610,0,7networks_LH_Default_Temp_1
28,Univariate,AIS,0.44005221872539035,100610,0,7networks_LH_Default_Temp_1
29,Univariate,Entropy,1.4031689020856035,100610,0,7networks_LH_Default_Temp_2
29,Univariate,AIS,0.607419126161715,100610,0,7networks_LH_Default_Temp_2
30,Univariate,Entropy,1.486284046617091,100610,0,7networks_LH_Default_Temp_3
30,Univariate,AIS,0.5073889753691248,100610,0,7networks_LH_Default_Temp_3
31,Univariate,Entropy,1.3690626023855952,100610,0,7networks_LH_Default_Temp_4
31,Univariate,AIS,0.5666830126536828,100610,0,7networks_LH_Default_Temp_4
32,Univariate,Entropy,1.3223288509180593,100610,0,7networks_LH_Default_Temp_5
32,Univariate,AIS,0.5260923081831965,100610,0,7networks_LH_Default_Temp_5
33,Univariate,Entropy,1.4606006297761525,100610,0,7networks_LH_Default_Temp_6
33,Univariate,AIS,0.3169852944135716,100610,0,7networks_LH_Default_Temp_6
34,Univariate,Entropy,1.4133091862670648,100610,0,7networks_LH_Default_pCun
34,Univariate,AIS,0.27764872865092816,100610,0,7networks_LH_Default_pCun
35,Univariate,Entropy,1.4836024404253765,100610,0,7networks_LH_Cont_Cingm
35,Univariate,AIS,0.06082408804464379,100610,0,7networks_LH_Cont_Cingm
36,Univariate,Entropy,1.360148675483055,100610,0,7networks_LH_Cont_FPole_1
36,Univariate,AIS,0.28216212400511065,100610,0,7networks_LH_Cont_FPole_1
37,Univariate,Entropy,1.3794473501313558,100610,0,7networks_LH_Cont_IPL
37,Univariate,AIS,0.4937681071919755,100610,0,7networks_LH_Cont_IPL
38,Univariate,Entropy,1.5069171742384215,100610,0,7networks_LH_Cont_IPS_1
38,Univariate,AIS,0.6364567111044543,100610,0,7networks_LH_Cont_IPS_1
39,Univariate,Entropy,1.389157573620758,100610,0,7networks_LH_Cont_IPS_2
39,Univariate,AIS,0.5460686226138076,100610,0,7networks_LH_Cont_IPS_2
40,Univariate,Entropy,1.3348342265579847,100610,0,7networks_LH_Cont_IPS_3
40,Univariate,AIS,0.5493165575900578,100610,0,7networks_LH_Cont_IPS_3
41,Univariate,Entropy,1.4478791910110989,100610,0,7networks_LH_Cont_Ins
41,Univariate,AIS,0.5932149433445675,100610,0,7networks_LH_Cont_Ins
42,Univariate,Entropy,1.3910191488368504,100610,0,7networks_LH_Cont_PCC
42,Univariate,AIS,0.573623920710058,100610,0,7networks_LH_Cont_PCC
43,Univariate,Entropy,1.403957910585131,100610,0,7networks_LH_Cont_PFCd_1
43,Univariate,AIS,0.6750957259480126,100610,0,7networks_LH_Cont_PFCd_1
44,Univariate,Entropy,1.3807762600354767,100610,0,7networks_LH_Cont_PFCl_1
44,Univariate,AIS,0.2647849251448706,100610,0,7networks_LH_Cont_PFCl_1
