Measure,region_from,region_to,Measure_Type,value,Base_Region
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.442819287839777,lateraloccipital
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.029169527122322236,lateraloccipital
entropy_kozachenko,parahippocampal,parahippocampal,Univariate,1.4415719671934166,parahippocampal
AIS_kraskov,parahippocampal,parahippocampal,Univariate,0.026451079844976633,parahippocampal
je_kozachenko,lateraloccipital,parahippocampal,Bivariate,2.878938000873671,
si_kozachenko_k-1,lateraloccipital,parahippocampal,Bivariate,0.11123618951709213,
mi_kraskov_NN-4,lateraloccipital,parahippocampal,Bivariate,-0.015588955062129983,
tlmi_kraskov_NN-4,lateraloccipital,parahippocampal,Bivariate,-0.0061658801080159975,
di_kozachenko,lateraloccipital,parahippocampal,Bivariate,2.3939130934563035,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parahippocampal,Bivariate,0.00032657307366027995,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parahippocampal,Bivariate,0.0015433574090291113,
ce_kozachenko,lateraloccipital,parahippocampal,Bivariate,1.4701747352197265,
cce_kozachenko,lateraloccipital,parahippocampal,Bivariate,4.5579404348470565,
entropy_kozachenko,superiorfrontal,superiorfrontal,Univariate,1.4156174386560165,superiorfrontal
AIS_kraskov,superiorfrontal,superiorfrontal,Univariate,0.06262020592462036,superiorfrontal
je_kozachenko,lateraloccipital,superiorfrontal,Bivariate,2.8820709604909482,
si_kozachenko_k-1,lateraloccipital,superiorfrontal,Bivariate,0.012702313416516287,
mi_kraskov_NN-4,lateraloccipital,superiorfrontal,Bivariate,-0.00846741227336878,
tlmi_kraskov_NN-4,lateraloccipital,superiorfrontal,Bivariate,0.016452106569625258,
di_kozachenko,lateraloccipital,superiorfrontal,Bivariate,2.2904856743667343,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,superiorfrontal,Bivariate,0.00017643691188254972,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,superiorfrontal,Bivariate,-0.007191508323860063,
ce_kozachenko,lateraloccipital,superiorfrontal,Bivariate,1.4732255959637288,
cce_kozachenko,lateraloccipital,superiorfrontal,Bivariate,4.576348123429167,
entropy_kozachenko,inferiorparietal,inferiorparietal,Univariate,1.4056153731947436,inferiorparietal
AIS_kraskov,inferiorparietal,inferiorparietal,Univariate,0.05520735025014467,inferiorparietal
je_kozachenko,lateraloccipital,inferiorparietal,Bivariate,2.855222027829401,
si_kozachenko_k-1,lateraloccipital,inferiorparietal,Bivariate,0.07022091124946739,
mi_kraskov_NN-4,lateraloccipital,inferiorparietal,Bivariate,0.016065503214452548,
tlmi_kraskov_NN-4,lateraloccipital,inferiorparietal,Bivariate,0.011596766691200244,
di_kozachenko,lateraloccipital,inferiorparietal,Bivariate,2.428267820529988,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiorparietal,Bivariate,3.141479246130348e-05,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiorparietal,Bivariate,0.008877542430011598,
ce_kozachenko,lateraloccipital,inferiorparietal,Bivariate,1.446356762921622,
cce_kozachenko,lateraloccipital,inferiorparietal,Bivariate,4.525969791393589,
entropy_kozachenko,rostralmiddlefrontal,rostralmiddlefrontal,Univariate,1.439614703533806,rostralmiddlefrontal
AIS_kraskov,rostralmiddlefrontal,rostralmiddlefrontal,Univariate,0.1105955697540022,rostralmiddlefrontal
je_kozachenko,lateraloccipital,rostralmiddlefrontal,Bivariate,2.8436894609714103,
si_kozachenko_k-1,lateraloccipital,rostralmiddlefrontal,Bivariate,0.02361381327589962,
mi_kraskov_NN-4,lateraloccipital,rostralmiddlefrontal,Bivariate,0.004187967701854589,
tlmi_kraskov_NN-4,lateraloccipital,rostralmiddlefrontal,Bivariate,0.0015776962004814266,
di_kozachenko,lateraloccipital,rostralmiddlefrontal,Bivariate,2.3492836632828205,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,rostralmiddlefrontal,Bivariate,4.550539564986661e-07,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,rostralmiddlefrontal,Bivariate,0.007442891630618176,
ce_kozachenko,lateraloccipital,rostralmiddlefrontal,Bivariate,1.4351995809990492,
cce_kozachenko,lateraloccipital,rostralmiddlefrontal,Bivariate,4.402087346017927,
entropy_kozachenko,isthmuscingulate,isthmuscingulate,Univariate,1.4405425872436224,isthmuscingulate
AIS_kraskov,isthmuscingulate,isthmuscingulate,Univariate,0.03258928427200658,isthmuscingulate
je_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.8207928835267375,
si_kozachenko_k-1,lateraloccipital,isthmuscingulate,Bivariate,-0.011277228731175537,
mi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,-0.00538074342606798,
tlmi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,-0.001247395795951789,
di_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.5013224472233784,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,4.29830602595028e-09,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.010222965250392901,
ce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,1.412271032934941,
cce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,4.514596771484246,
entropy_kozachenko,postcentral,postcentral,Univariate,1.407827482155172,postcentral
AIS_kraskov,postcentral,postcentral,Univariate,0.049451777585929335,postcentral
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.8234232151792296,
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,0.016789195911119936,
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.0007227385002082087,
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.00036577816578997613,
di_kozachenko,lateraloccipital,postcentral,Bivariate,2.39049906402951,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.0002636293871373155,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,-0.009859060468001335,
ce_kozachenko,lateraloccipital,postcentral,Bivariate,1.4146831807355285,
cce_kozachenko,lateraloccipital,postcentral,Bivariate,4.550984123459418,
entropy_kozachenko,caudalmiddlefrontal,caudalmiddlefrontal,Univariate,1.4097233511871297,caudalmiddlefrontal
AIS_kraskov,caudalmiddlefrontal,caudalmiddlefrontal,Univariate,0.08601695694928146,caudalmiddlefrontal
je_kozachenko,lateraloccipital,caudalmiddlefrontal,Bivariate,2.8254670530476207,
si_kozachenko_k-1,lateraloccipital,caudalmiddlefrontal,Bivariate,-0.004122104660399639,
mi_kraskov_NN-4,lateraloccipital,caudalmiddlefrontal,Bivariate,0.005411802025268031,
tlmi_kraskov_NN-4,lateraloccipital,caudalmiddlefrontal,Bivariate,-0.002222498961398145,
di_kozachenko,lateraloccipital,caudalmiddlefrontal,Bivariate,2.3846427251879394,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,caudalmiddlefrontal,Bivariate,3.917975525742454e-05,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,caudalmiddlefrontal,Bivariate,0.004437948782026746,
ce_kozachenko,lateraloccipital,caudalmiddlefrontal,Bivariate,1.4169530810526765,
cce_kozachenko,lateraloccipital,caudalmiddlefrontal,Bivariate,4.444972620046631,
entropy_kozachenko,pericalcarine,pericalcarine,Univariate,1.388222158825685,pericalcarine
AIS_kraskov,pericalcarine,pericalcarine,Univariate,0.06959508577735107,pericalcarine
je_kozachenko,lateraloccipital,pericalcarine,Bivariate,2.879131939813053,
si_kozachenko_k-1,lateraloccipital,pericalcarine,Bivariate,0.04066057835538173,
mi_kraskov_NN-4,lateraloccipital,pericalcarine,Bivariate,0.0007185654564434429,
tlmi_kraskov_NN-4,lateraloccipital,pericalcarine,Bivariate,-0.0029024898032172786,
di_kozachenko,lateraloccipital,pericalcarine,Bivariate,2.2654395339177364,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,pericalcarine,Bivariate,2.968031580454786e-06,
