Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.3985214951302325,lateraloccipital,298051
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.5789410096733834,lateraloccipital,298051
entropy_kozachenko,superiortemporal,superiortemporal,Univariate,1.4166993548555356,superiortemporal,298051
AIS_kraskov,superiortemporal,superiortemporal,Univariate,0.14772929869930707,superiortemporal,298051
je_kozachenko,lateraloccipital,superiortemporal,Bivariate,2.8712911621867385,,298051
si_kozachenko_k-1,lateraloccipital,superiortemporal,Bivariate,0.16416093214025596,,298051
mi_kraskov_NN-4,lateraloccipital,superiortemporal,Bivariate,-0.017558726761279786,,298051
tlmi_kraskov_NN-4,lateraloccipital,superiortemporal,Bivariate,-0.008770215736797482,,298051
di_kozachenko,lateraloccipital,superiortemporal,Bivariate,0.3213475053753756,,298051
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,superiortemporal,Bivariate,0.0002506726667102175,,298051
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,superiortemporal,Bivariate,-0.021841656721341307,,298051
ce_kozachenko,lateraloccipital,superiortemporal,Bivariate,1.44148616655302,,298051
cce_kozachenko,lateraloccipital,superiortemporal,Bivariate,6.43809106155293,,298051
entropy_kozachenko,entorhinal,entorhinal,Univariate,1.3892004151225983,entorhinal,298051
AIS_kraskov,entorhinal,entorhinal,Univariate,0.08685202147301219,entorhinal,298051
je_kozachenko,lateraloccipital,entorhinal,Bivariate,2.8035707847819125,,298051
si_kozachenko_k-1,lateraloccipital,entorhinal,Bivariate,0.04292678624073831,,298051
mi_kraskov_NN-4,lateraloccipital,entorhinal,Bivariate,0.01747958835115071,,298051
tlmi_kraskov_NN-4,lateraloccipital,entorhinal,Bivariate,-0.009629165943895401,,298051
di_kozachenko,lateraloccipital,entorhinal,Bivariate,-0.3095456431998924,,298051
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,entorhinal,Bivariate,0.00039063607157115106,,298051
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,entorhinal,Bivariate,-0.008429032376062295,,298051
ce_kozachenko,lateraloccipital,entorhinal,Bivariate,1.3737525263761348,,298051
cce_kozachenko,lateraloccipital,entorhinal,Bivariate,7.205943791722056,,298051
entropy_kozachenko,pericalcarine,pericalcarine,Univariate,1.3820545570738085,pericalcarine,298051
AIS_kraskov,pericalcarine,pericalcarine,Univariate,0.42737820700346774,pericalcarine,298051
je_kozachenko,lateraloccipital,pericalcarine,Bivariate,2.8626460389434,,298051
si_kozachenko_k-1,lateraloccipital,pericalcarine,Bivariate,0.15492513986934187,,298051
mi_kraskov_NN-4,lateraloccipital,pericalcarine,Bivariate,0.04474439860647372,,298051
tlmi_kraskov_NN-4,lateraloccipital,pericalcarine,Bivariate,0.020297431303182734,,298051
di_kozachenko,lateraloccipital,pericalcarine,Bivariate,0.6088079642327067,,298051
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,pericalcarine,Bivariate,0.0001870289675358021,,298051
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,pericalcarine,Bivariate,0.018820876247996887,,298051
ce_kozachenko,lateraloccipital,pericalcarine,Bivariate,1.4328313945007243,,298051
cce_kozachenko,lateraloccipital,pericalcarine,Bivariate,5.292870193914922,,298051
entropy_kozachenko,precuneus,precuneus,Univariate,1.375455996539154,precuneus,298051
AIS_kraskov,precuneus,precuneus,Univariate,0.43202379443908345,precuneus,298051
je_kozachenko,lateraloccipital,precuneus,Bivariate,2.8145949680355486,,298051
si_kozachenko_k-1,lateraloccipital,precuneus,Bivariate,0.18197623973800203,,298051
mi_kraskov_NN-4,lateraloccipital,precuneus,Bivariate,0.03723649388200023,,298051
tlmi_kraskov_NN-4,lateraloccipital,precuneus,Bivariate,0.020252381038408984,,298051
di_kozachenko,lateraloccipital,precuneus,Bivariate,0.379077243663299,,298051
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,precuneus,Bivariate,0.0015035667394754167,,298051
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,precuneus,Bivariate,-0.009618851982466259,,298051
ce_kozachenko,lateraloccipital,precuneus,Bivariate,1.3847729001751996,,298051
cce_kozachenko,lateraloccipital,precuneus,Bivariate,5.387247101117408,,298051
entropy_kozachenko,inferiorparietal,inferiorparietal,Univariate,1.4430344767260168,inferiorparietal,298051
AIS_kraskov,inferiorparietal,inferiorparietal,Univariate,0.3919943565532078,inferiorparietal,298051
je_kozachenko,lateraloccipital,inferiorparietal,Bivariate,2.831639970141834,,298051
