Measure_name,Measure,Group,Group_number
Time-lagged mutual information,tlmi_gaussian,"Pairwise order-dependent, directed",6
Causal conditioned entropy,cce_gaussian,"Pairwise order-dependent, directed",6
Directed information,di_gaussian,"Pairwise order-dependent, directed",6
Granger causality,gc_gaussian_k-1_kt-1_l-1_lt-1,"Pairwise order-dependent, directed",6
Stochastic interaction,si_gaussian_k-1,"Pairwise order-dependent, undirected",5
Conditional entropy,ce_gaussian,"Pairwise order-independent, directed",3
Joint entropy,je_gaussian,"Pairwise order-independent, undirected",2
Mutual information,mi_gaussian,"Pairwise order-independent, undirected",2
Active information storage,AIS_gaussian,Single-process order-dependent,4
Entropy,entropy_gaussian,Single-process order-independent,1
