Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.3981119067428178,lateraloccipital,298051
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.5789410096733834,lateraloccipital,298051
entropy_kozachenko,cuneus,cuneus,Univariate,1.4703407611573693,cuneus,298051
AIS_kraskov,cuneus,cuneus,Univariate,0.4047167668961409,cuneus,298051
je_kozachenko,lateraloccipital,cuneus,Bivariate,2.7951299462934176,,298051
si_kozachenko_k-1,lateraloccipital,cuneus,Bivariate,0.20895539085435955,,298051
mi_kraskov_NN-4,lateraloccipital,cuneus,Bivariate,0.04608373454828829,,298051
tlmi_kraskov_NN-4,lateraloccipital,cuneus,Bivariate,0.022494410150956767,,298051
di_kozachenko,lateraloccipital,cuneus,Bivariate,0.4523842542508625,,298051
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,cuneus,Bivariate,0.0007367065352641103,,298051
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,cuneus,Bivariate,0.006562072621557835,,298051
ce_kozachenko,lateraloccipital,cuneus,Bivariate,1.3655617485531626,,298051
cce_kozachenko,lateraloccipital,cuneus,Bivariate,5.44406363400307,,298051
entropy_kozachenko,superiorfrontal,superiorfrontal,Univariate,1.4149706919593008,superiorfrontal,298051
AIS_kraskov,superiorfrontal,superiorfrontal,Univariate,0.12957937722224777,superiorfrontal,298051
je_kozachenko,lateraloccipital,superiorfrontal,Bivariate,2.8183209522179973,,298051
si_kozachenko_k-1,lateraloccipital,superiorfrontal,Bivariate,0.12150957697152398,,298051
mi_kraskov_NN-4,lateraloccipital,superiorfrontal,Bivariate,0.03256941053437501,,298051
tlmi_kraskov_NN-4,lateraloccipital,superiorfrontal,Bivariate,0.012767856688540746,,298051
di_kozachenko,lateraloccipital,superiorfrontal,Bivariate,0.11432583734658053,,298051
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,superiorfrontal,Bivariate,0.0012741328239484033,,298051
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,superiorfrontal,Bivariate,0.005583023930212816,,298051
