Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.3990203565321933,lateraloccipital,857263
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.5684297727833307,lateraloccipital,857263
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.3978631822982504,parsopercularis,857263
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.14170120995043423,parsopercularis,857263
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.8275413959417377,,857263
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,0.07953758680164791,,857263
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.01200373884904593,,857263
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.007942424628836875,,857263
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,0.22963649736099434,,857263
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.0012393945074203998,,857263
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.006811877361533991,,857263
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.4142629481015612,,857263
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,6.3945803633862415,,857263
entropy_kozachenko,postcentral,postcentral,Univariate,1.358593558973518,postcentral,857263
AIS_kraskov,postcentral,postcentral,Univariate,0.4218866474146843,postcentral,857263
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.8288840707026455,,857263
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,-0.031146286975318294,,857263
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,-0.010263354460548157,,857263
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.017440560398553018,,857263
di_kozachenko,lateraloccipital,postcentral,Bivariate,0.6454889902987277,,857263
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,1.783748524612731e-05,,857263
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.005291581301742898,,857263
ce_kozachenko,lateraloccipital,postcentral,Bivariate,1.415602263765852,,857263
cce_kozachenko,lateraloccipital,postcentral,Bivariate,5.363083013371243,,857263
entropy_kozachenko,isthmuscingulate,isthmuscingulate,Univariate,1.4723773043736896,isthmuscingulate,857263
AIS_kraskov,isthmuscingulate,isthmuscingulate,Univariate,0.17734230412229124,isthmuscingulate,857263
je_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.802732229314285,,857263
si_kozachenko_k-1,lateraloccipital,isthmuscingulate,Bivariate,-0.02167792386313705,,857263
mi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.013928832525134993,,857263
tlmi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,-0.006115374654612538,,857263
di_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,0.2168394353373264,,857263
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.00038060657613083886,,857263
